Country,CountryCode,GDP,SuicideCount,Population
Brazil,BR,1667.02,9346,179.570
Canada,CA,1371.153,3890,31.937
France,FR,2690.222,10499,58.771
Germany,DE,3418.005,9579,78.449
Italy,IT,2185.16,3974,57.352
Japan,JP,5231.383,30523,120.496
Kazakhstan,KZ,115.309,3838,14.371
Mexico,MX,900.045,5023,104.044
Poland,PL,439.796,6477,36.223
Republic of Korea,KR,901.935,15402,47.380
Russian Federation,RU,1222.644,37408,134.085
Thailand,TH,281.71,3787,59.484
Ukraine,UA,117.228,9715,43.558
United Kingdom,GB,2382.826,4246,58.014
United States,US,14418.739,36900,285.163
